run_id,timestamp,governor,input_bytes,findings,corroborated,reviewer_status,subject
rev_20260827105641_orun,2026-08-27T10:56:41.792Z,claude,9440,15,0,codex:success grok:success antigravity:success copilot:success,
rev_20260828060521_uyhh,2026-08-28T06:05:21.325Z,codex,125302,10,2,codex:self_excluded claude:success antigravity:success copilot:success grok:success,Pet Singer final release gate
rev_20260828103536_91fi,2026-08-28T10:35:36.183Z,codex,152390,4,0,codex:self_excluded claude:timeout antigravity:success copilot:success grok:timeout,Pet Singer post-fix release gate
rev_20260829064947_g9bc,2026-08-29T06:49:47.909Z,codex,90791,6,0,codex:self_excluded claude:success antigravity:success copilot:success grok:timeout,
rev_20260902165517_z4ze,2026-09-02T16:55:17.654Z,codex,17231,8,0,codex:self_excluded claude:success antigravity:invalid_output copilot:success grok:success,
rev_20260902170622_iri3,2026-09-02T17:06:22.805Z,codex,19715,7,0,claude:success copilot:success grok:success,
rev_20260902171100_ofys,2026-09-02T17:11:00.070Z,codex,20884,3,0,claude:success copilot:success,
rev_20260903053054_lllk,2026-09-03T05:30:54.765Z,codex,90398,1,0,codex:self_excluded claude:timeout antigravity:invalid_output copilot:success grok:success,
rev_20260903053824_rizz,2026-09-03T05:38:24.400Z,codex,94938,8,0,codex:self_excluded claude:success antigravity:invalid_output copilot:timeout grok:success,
rev_20260904122139_k5t0,2026-09-04T12:21:39.538Z,claude,51065,3,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,
rev_20260904123202_wtem,2026-09-04T12:32:02.508Z,claude,55348,1,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,
rev_20260904124105_fn4a,2026-09-04T12:41:05.466Z,claude,56970,1,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,
rev_20260904124819_wj01,2026-09-04T12:48:19.341Z,claude,57726,0,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,
rev_20260904125430_ikxg,2026-09-04T12:54:30.749Z,claude,59064,0,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260904131435_mf6w,2026-09-04T13:14:35.636Z,claude,36443,3,1,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,momm 1.12.0 dispatcher/ledger/setup-ui changes (momm reviewing momm)
rev_20260904131705_l4z2,2026-09-04T13:17:05.173Z,claude,36443,4,1,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,momm 1.12.0 dispatcher/ledger/setup-ui changes (momm reviewing momm)
rev_20260904131823_wvxh,2026-09-04T13:18:23.817Z,claude,2438,26,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,manuscript peer-review specimen: evening blue light and working memory
rev_20260904134441_i82j,2026-09-04T13:44:41.552Z,claude,51239,1,0,codex:timeout claude:self_excluded antigravity:invalid_output copilot:success grok:timeout,
rev_20260904134630_bl2v,2026-09-04T13:46:30.303Z,claude,44905,4,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,"momm 1.13.0 release gate: supervise timeout fix, ledger speech guard + rollup, myskills redaction"
rev_20260904135239_z6w4,2026-09-04T13:52:39.132Z,claude,51827,0,0,codex:timeout claude:self_excluded antigravity:success copilot:timeout grok:timeout,
rev_20260904140911_r33c,2026-09-04T14:09:11.109Z,claude,52188,3,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260904141902_p13y,2026-09-04T14:19:02.362Z,claude,55304,4,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,
rev_20260904143228_40ov,2026-09-04T14:32:28.360Z,claude,57416,5,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,
rev_20260904144812_gpdv,2026-09-04T14:48:12.069Z,claude,59824,4,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,
rev_20260904150042_x1r8,2026-09-04T15:00:42.560Z,claude,61687,4,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260904152252_yvrw,2026-09-04T15:22:52.944Z,claude,2438,14,0,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,"manuscript peer-review specimen, re-run with quotation corroboration"
rev_20260904153705_95x7,2026-09-04T15:37:05.344Z,claude,2438,11,9,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,"manuscript peer-review specimen, re-run with quotation corroboration (1.14.0 prose mode)"
rev_20260904154021_uctu,2026-09-04T15:40:21.723Z,claude,29660,5,1,codex:success claude:self_excluded antigravity:invalid_output copilot:success grok:success,"momm 1.14.0 gate: prose corroboration, --tier, invalid_output diagnostics, redaction, installer target, CSV export"
